"y","x1","x2","x3","x4","x5","x6","x7"
92.84,93.27,93.71,-24.25,11,19,-8,30
93.15,93.58,93.99,-24.23,11,20,-9,31
93.16,93.6,94.04,-27.22,10,22,-12,32
93.13,93.54,93.94,-28.01,10,22,-12,32
93.15,93.58,94.02,-12.48,11,20,-9,31
93.13,93.59,93.97,-12.48,10,21,-11,31
93.19,93.61,94.02,-12.33,10,21,-11,31
92.91,93.36,93.77,-12.53,10,22,-12,32
92.8,93.23,93.69,-23.11,9,22,-13,31
92.7,93.13,93.56,-21.29,10,20,-10,30
92.68,93.08,93.48,-26.24,11,19,-8,30
92.66,93.09,93.55,-25.97,13,17,-4,30
92.89,93.28,93.7,-25.83,13,17,-4,30
92.85,93.33,93.71,-25.83,14,16,-2,30
92.83,93.25,93.69,-25.9,13,17,-4,30
92.77,93.23,93.69,-25.9,13,17,-4,30
92.65,93.09,93.51,-20.9,14,17,-3,31
92.55,92.97,93.4,-21.08,13,17,-4,30
92.37,92.83,93.21,-18.01,13,17,-4,30
92.32,92.74,93.2,-25.98,12,17,-5,29
92.18,92.6,92.99,-13.13,12,16,-4,28
92.18,92.6,93,-13.18,12,16,-4,28
92.23,92.62,93.07,-13.18,12,16,-4,28
92.29,92.69,93.07,-13.18,12,16,-4,28
92.33,92.75,93.12,-13.05,13,15,-2,28
92.19,92.64,93.07,-13.05,13,15,-2,28
92.19,92.6,93.03,-13.05,13,15,-2,28
92.25,92.69,93.03,-13.04,13,15,-2,28
92.25,92.67,93.09,-12.75,14,14,0,28
92.2,92.63,93.08,-11.74,14,12,2,26
92.1,92.51,93.04,-11.74,14,12,2,26
92.08,92.51,92.98,-11.74,14,12,2,26
92.28,92.71,93.1,-11.69,15,12,3,27
92.21,92.64,93.1,-11.94,14,13,1,27
92.15,92.58,92.98,-11.94,14,13,1,27
91.86,92.29,92.73,-11.94,14,13,1,27
91.82,92.25,92.68,-11.7,13,13,0,26
91.65,92.08,92.53,-11.18,14,11,3,25
91.79,92.2,92.53,-11.6,16,12,4,28
91.7,92.12,92.52,-10.47,16,12,4,28
91.87,92.27,92.65,-10.57,16,13,3,29
91.97,92.42,92.86,-10.59,15,14,1,29
92.14,92.53,92.99,-10.6,17,12,5,29
92.35,92.77,93.08,-10.74,16,13,3,29
92.64,93,93.43,-11.07,17,11,6,28
92.92,93.34,93.75,-10.83,18,11,7,29
92.69,93.09,93.56,-10.67,18,12,6,30
92.74,93.16,93.54,-23.49,17,16,1,33
92.62,93.03,93.47,-22.39,17,18,-1,35
92.42,92.85,93.26,-9.99,20,13,7,33
92.53,92.93,93.37,-26.78,19,12,7,31
92.8,93.27,93.69,-26.85,19,12,7,31
92.99,93.42,93.82,-8.42,20,10,10,30
92.88,93.31,93.74,-7.95,19,11,8,30
93.07,93.5,93.89,-10.05,19,10,9,29
92.92,93.31,93.71,-10.32,17,12,5,29
93.01,93.39,93.83,-7.07,19,11,8,30
93.06,93.46,93.85,8.48,20,12,8,32
93.12,93.53,93.86,6.88,18,12,6,30
93.08,93.51,93.86,9.53,17,13,4,30
93.19,93.6,93.94,7.53,16,13,3,29
93.04,93.46,93.87,-5.87,16,12,4,28
93.05,93.47,93.87,-5.87,16,12,4,28
92.94,93.37,93.78,-5.87,16,12,4,28
92.95,93.35,93.78,-5.97,16,12,4,28
93.02,93.41,93.77,-5.97,16,12,4,28
92.96,93.41,93.78,-5.97,16,12,4,28
93.06,93.48,93.86,-5.97,16,12,4,28
93.04,93.46,93.86,-5.97,16,12,4,28
93.01,93.47,93.86,-5.87,16,12,4,28
92.93,93.36,93.75,-5.87,16,12,4,28
92.91,93.33,93.75,-5.87,16,12,4,28
92.85,93.26,93.75,-5.87,16,12,4,28
92.85,93.26,93.66,-5.87,16,12,4,28
92.78,93.19,93.58,-5.87,16,12,4,28
92.8,93.24,93.61,-5.87,16,12,4,28
92.82,93.25,93.65,-5.87,16,12,4,28
92.84,93.25,93.65,-5.87,16,12,4,28
92.66,93.07,93.61,-5.87,16,12,4,28
92.62,93.04,93.46,-5.57,18,11,7,29
92.58,93,93.4,-6.56,18,13,5,31
92.68,93.11,93.5,-6.56,18,13,5,31
92.74,93.15,93.64,-6.43,19,13,6,32
92.81,93.24,93.62,-6.75,17,15,2,32
92.76,93.1,93.53,-6.75,17,15,2,32
92.65,93.04,93.61,-6.84,17,15,2,32
92.61,93.03,93.61,-6.84,17,15,2,32
92.69,93.12,93.52,-6.78,18,14,4,32
92.51,92.94,93.35,-6.78,18,14,4,32
92.66,93.09,93.49,-6.23,18,14,4,32
92.54,92.95,93.35,-6.23,18,14,4,32
92.7,93.14,93.54,-20.43,18,16,2,34
92.81,93.23,93.65,-20.53,18,16,2,34
92.98,93.42,93.79,-20.42,19,15,4,34
93.18,93.59,94.02,-21.15,17,17,0,34
93.2,93.62,94.03,-9.37,15,16,-1,31
92.99,93.44,93.86,-9.24,15,17,-2,32
92.89,93.36,93.76,-9.57,14,17,-3,31
93.17,93.61,94.01,-9.84,15,18,-3,33
93.21,93.65,94.02,-9.54,16,17,-1,33
93.17,93.59,93.98,-9.54,16,17,-1,33
93.15,93.59,93.99,-9.54,16,17,-1,33
93.19,93.63,94.01,-9.3,16,16,0,32
93.25,93.68,94.05,-9.41,15,17,-2,32
93.22,93.66,94.03,-9.49,14,16,-2,30
93.21,93.65,94.05,-9.44,14,16,-2,30
93.29,93.73,94.05,-9.39,14,16,-2,30
93.32,93.76,94.13,-9.34,14,16,-2,30
93.25,93.67,94.13,-7.44,15,16,-1,31
93.28,93.7,94.08,-7.34,15,16,-1,31
93.25,93.69,94.08,-7.34,15,16,-1,31
93.26,93.68,94.08,-7.34,15,16,-1,31
93.17,93.61,93.98,-7.34,15,16,-1,31
93.16,93.59,93.98,-7.34,15,16,-1,31
93.22,93.68,94.04,-5.34,15,16,-1,31
93.3,93.74,94.04,-5.34,15,16,-1,31
93.29,93.73,94.04,-5.34,15,16,-1,31
93.21,93.63,94.04,-2.34,15,16,-1,31
93.16,93.59,94.04,-2.34,15,16,-1,31
93.15,93.58,93.99,-2.54,14,17,-3,31
93.21,93.63,93.99,-2.54,14,17,-3,31
93.19,93.65,94.03,-2.54,14,17,-3,31
93.12,93.55,94.03,-2.54,14,17,-3,31
93.09,93.51,93.9,-2.54,14,17,-3,31
93.02,93.46,93.86,-2.53,14,19,-5,33
93.12,93.56,93.96,-2.53,14,19,-5,33
93.1,93.53,93.9,-2.53,14,19,-5,33
93.1,93.55,93.94,-2.63,14,19,-5,33
93.12,93.55,93.95,-2.73,14,20,-6,34
93.21,93.65,94.06,-2.63,15,19,-4,34
93.41,93.83,94.3,-2.68,15,19,-4,34
93.52,93.96,94.39,-5.78,15,20,-5,35
93.8,94.24,94.65,-5.71,14,21,-7,35
93.72,94.16,94.58,-9.99,13,22,-9,35
93.69,94.14,94.57,-10,13,22,-9,35
93.55,93.99,94.45,-11.12,13,22,-9,35
93.43,93.89,94.3,-7.11,13,21,-8,34
93.44,93.91,94.33,-7.24,12,21,-9,33
93.47,93.93,94.34,-6.34,12,21,-9,33
93.17,93.6,94.02,-5.25,14,21,-7,35
92.87,93.33,93.73,-5.39,12,20,-8,32
92.79,93.25,93.67,-4.22,16,18,-2,34
92.93,93.39,93.82,-3.6,18,15,3,33
92.94,93.38,93.81,-3.84,17,14,3,31
92.96,93.4,93.87,-5.39,14,18,-4,32
92.93,93.39,93.82,-5.24,16,18,-2,34
93.05,93.5,93.94,-19.25,15,20,-5,35
93.16,93.61,94.05,-19.21,16,20,-4,36
93.21,93.66,94.07,-19.51,16,20,-4,36
93.14,93.59,94.1,-18.13,15,21,-6,36
93.25,93.7,94.07,-17.83,15,21,-6,36
93.28,93.72,94.13,-17.84,15,21,-6,36
93.23,93.66,94.15,-18.04,15,22,-7,37
93.15,93.58,94.15,-18.59,15,22,-7,37
93.16,93.59,94.15,-18.58,15,22,-7,37
93.15,93.56,93.96,-18.98,14,21,-7,35
93.18,93.63,93.96,-18.98,14,21,-7,35
93.24,93.7,94.07,-18.98,14,21,-7,35
93.08,93.46,93.92,-19.08,14,21,-7,35
93.13,93.58,94.01,-19.08,14,21,-7,35
93.18,93.61,94.04,-19.08,14,21,-7,35
93.17,93.62,94.03,-19.13,14,21,-7,35
93.17,93.55,94.03,-19.08,14,21,-7,35
93.06,93.51,94.03,-19.08,14,21,-7,35
93.03,93.52,93.9,-19.08,14,21,-7,35
93.01,93.45,93.9,-19.08,14,21,-7,35
92.97,93.41,93.83,-18.95,15,19,-4,34
93.01,93.44,93.83,-17.95,16,19,-3,35
93.08,93.54,93.89,-17.95,16,19,-3,35
93.04,93.49,93.91,-17.95,16,19,-3,35
93.03,93.5,93.91,-17.95,16,19,-3,35
92.92,93.36,93.72,-17.95,16,19,-3,35
93.02,93.48,93.84,-17.94,16,18,-2,34
93.29,93.74,94.05,-17.09,18,16,2,34
93.29,93.73,94.08,-19.12,14,20,-6,34
93.08,93.54,93.9,-19.13,13,21,-8,34
92.96,93.4,93.87,-18.39,14,17,-3,31
92.98,93.42,93.78,-18.27,15,17,-2,32
93.01,93.45,93.9,-17.07,16,17,-1,33
92.98,93.43,93.88,-17.16,17,17,0,34
93.03,93.46,93.85,-17.1,18,16,2,34
93.06,93.49,93.9,-19.27,15,18,-3,33
93.2,93.64,94.02,-19.53,15,19,-4,34
93.08,93.5,93.99,-20.58,14,20,-6,34
93.18,93.62,93.99,-20.93,14,22,-8,36
93.31,93.76,94.17,-25.72,15,21,-6,36
93.5,93.93,94.34,-6.88,15,19,-4,34
93.43,93.85,94.3,-9.59,12,24,-12,36
92.95,93.38,93.82,-31.55,12,25,-13,37
93.07,93.52,93.93,-8.44,18,15,3,33
93.02,93.46,93.9,-8.18,18,14,4,32
92.87,93.32,93.74,-9.12,17,17,0,34
92.94,93.36,93.79,-4.91,20,13,7,33
92.92,93.35,93.8,-4.91,20,13,7,33
92.94,93.39,93.81,-4.91,20,13,7,33
93.08,93.54,93.96,-4.91,21,14,7,35
93.12,93.58,94,-8.12,20,17,3,37
93.13,93.57,93.98,-8.17,19,18,1,37
93.13,93.56,93.99,-8.42,18,18,0,36
93.15,93.61,94.05,-8.75,18,18,0,36
93.18,93.63,93.99,-9.5,18,18,0,36
93.25,93.69,94.07,-9.2,18,18,0,36
93.2,93.65,94.07,-9.18,18,18,0,36
93.18,93.62,94.07,-9.27,18,18,0,36
93.14,93.63,94.07,-9.34,17,19,-2,36
93.14,93.59,94.03,-9.34,17,19,-2,36
93.11,93.55,94.03,-9.34,17,19,-2,36
93.08,93.55,93.98,-9.34,17,19,-2,36
93.47,93.9,94.25,-9.34,17,19,-2,36
93.4,93.84,94.27,-4.79,16,16,0,32
93.43,93.88,94.27,-4.79,16,16,0,32
93.49,93.95,94.35,-4.84,16,16,0,32
93.43,93.88,94.31,-5.84,16,18,-2,34
93.47,93.94,94.31,-5.94,15,19,-4,34
93.48,93.93,94.31,-5.94,15,19,-4,34
93.46,93.91,94.31,-5.89,15,19,-4,34
93.47,93.93,94.38,-5.89,15,19,-4,34
93.54,94,94.39,-5.91,15,19,-4,34
93.57,94.02,94.38,-5.84,16,18,-2,34
93.63,94.12,94.55,-11.46,13,23,-10,36
93.61,94.05,94.53,-15.86,13,23,-10,36
93.65,94.1,94.59,-16.16,12,23,-11,35
93.75,94.19,94.63,-16.06,12,23,-11,35
94.15,94.6,94.97,-21.96,14,24,-10,38
94.68,95.15,95.56,-17.39,15,23,-8,38
94.39,94.84,95.32,-7.16,14,20,-6,34
94.46,94.92,95.34,-5.4,13,20,-7,33
94.38,94.84,95.23,-4.89,14,19,-5,33
94.21,94.67,95.07,-4.93,14,19,-5,33
94.08,94.52,94.93,-7.6,12,23,-11,35
94.24,94.68,95.1,-5.35,12,22,-10,34
94.54,94.98,95.36,-7.57,12,24,-12,36
94.19,94.64,95.04,6.7,14,23,-9,37
94.04,94.47,94.84,5.91,16,23,-7,39
94.04,94.48,94.87,7.2,16,21,-5,37
93.93,94.37,94.75,-2.73,15,20,-5,35
94.01,94.46,94.88,-3.46,16,20,-4,36
94.02,94.45,94.9,-27.33,15,21,-6,36
94.07,94.52,94.9,-26.72,17,18,-1,35
94.15,94.59,94.99,-26.71,17,18,-1,35
93.94,94.4,94.8,-26.01,18,18,0,36
94.07,94.53,94.9,-25.41,18,17,1,35
93.81,94.26,94.64,-25.31,18,17,1,35
93.92,94.37,94.76,-1.29,18,15,3,33
93.87,94.31,94.69,-1.27,19,16,3,35
93.88,94.31,94.67,-1.25,19,15,4,34
93.91,94.35,94.69,-1.2,19,14,5,33
93.89,94.33,94.72,-1.2,19,14,5,33
93.89,94.36,94.67,-1.2,19,14,5,33
94.02,94.46,94.67,-1.2,19,14,5,33
94.07,94.51,94.86,-0.16,19,15,4,34
94,94.46,94.81,0.04,19,15,4,34
93.99,94.45,94.8,0.04,19,15,4,34
93.93,94.37,94.73,0.04,19,15,4,34
93.92,94.37,94.73,0.04,19,15,4,34
93.88,94.32,94.73,0.04,19,15,4,34
93.89,94.32,94.69,-0.06,18,16,2,34
93.88,94.27,94.69,-0.06,18,16,2,34
93.84,94.28,94.69,-0.06,18,16,2,34
93.88,94.3,94.67,-0.06,18,16,2,34
93.84,94.3,94.67,-0.06,18,16,2,34
93.92,94.32,94.7,-0.06,18,16,2,34
93.85,94.29,94.67,-0.06,18,16,2,34
93.71,94.15,94.6,-0.06,18,16,2,34
93.68,94.12,94.5,-0.26,18,16,2,34
93.78,94.18,94.54,-0.16,18,16,2,34
93.82,94.24,94.62,0.4,20,14,6,34
93.74,94.16,94.55,0.42,21,13,8,34
93.78,94.22,94.6,0.42,21,13,8,34
93.67,94.13,94.52,0.67,22,13,9,35
93.64,94.06,94.45,0.97,21,14,7,35
93.53,93.97,94.4,1.07,22,13,9,35
93.38,93.79,94.17,1.13,23,12,11,35
93.16,93.6,93.99,-0.47,21,12,9,33
93.18,93.61,94.05,-0.99,20,16,4,36
93.05,93.51,93.85,-0.36,20,14,6,34
93.07,93.51,93.76,-0.36,20,13,7,33
93.38,93.81,94.23,-0.25,21,12,9,33
93.54,94,94.34,0.15,23,10,13,33
93.16,93.59,93.94,-0.85,24,9,15,33
93.13,93.55,93.91,-1,23,10,13,33
92.91,93.32,93.67,-1.13,21,10,11,31
93.06,93.49,93.83,-1.16,21,12,9,33
93.07,93.49,93.83,-1.59,21,9,12,30
93.13,93.55,93.9,-1.42,22,11,11,33
93.28,93.7,94.03,-1.38,22,9,13,31
93.27,93.69,94.03,-1.69,22,10,12,32
93.23,93.65,94,-1.78,22,11,11,33
93.29,93.71,94.11,-1.87,23,11,12,34
93.59,94.02,94.37,-7.88,21,11,10,32
93.65,94.08,94.43,-7.3,22,10,12,32
93.73,94.16,94.53,-8,21,10,11,31
93.66,94.08,94.43,-8.05,20,11,9,31
93.74,94.13,94.53,-8.05,20,11,9,31
93.7,94.11,94.53,-8.05,20,11,9,31
93.77,94.19,94.54,-8.05,20,11,9,31
93.76,94.19,94.57,-8.06,20,12,8,32
93.84,94.26,94.64,-8.17,20,12,8,32
93.87,94.27,94.67,-8.07,20,12,8,32
93.87,94.3,94.68,-7.86,21,11,10,32
94.02,94.45,94.83,17.14,22,11,11,33
94,94.44,94.85,16.84,20,12,8,32
94.22,94.68,95.04,16.84,20,12,8,32
94.15,94.58,94.97,16.66,20,12,8,32
94.17,94.59,94.96,-8.34,19,12,7,31
94.13,94.57,94.96,-8.24,19,11,8,30
94.17,94.6,94.96,-8.24,19,11,8,30
94.15,94.57,94.95,-8.25,19,11,8,30
94.22,94.64,94.94,-8.25,19,11,8,30
94.2,94.66,95.05,-9.25,19,11,8,30
94.23,94.67,95,-9.25,19,11,8,30
94.21,94.63,95,-9.25,19,11,8,30
94.26,94.69,95.02,-9.15,19,11,8,30
94.18,94.62,94.98,-9.15,19,11,8,30
93.91,94.33,94.66,-9.25,19,11,8,30
93.8,94.23,94.6,-9.24,19,11,8,30
94.04,94.45,94.84,-9.35,19,12,7,31
94.06,94.45,94.82,-9.25,19,11,8,30
94.09,94.52,94.94,-8.91,21,9,12,30
94.18,94.62,95.03,-9.12,21,10,11,31
94.07,94.49,94.92,-9.22,21,10,11,31
94.19,94.63,94.99,-9.32,20,11,9,31
93.92,94.36,94.8,-9.32,20,11,9,31
93.94,94.38,94.77,-10.31,21,11,10,32
93.91,94.36,94.72,-10.26,21,11,10,32
93.92,94.38,94.75,-10.26,21,11,10,32
93.74,94.2,94.58,-10.23,20,12,8,32
93.33,93.78,94.18,-9.62,22,11,11,33
93.1,93.55,93.95,-10.13,20,12,8,32
93.45,93.89,94.28,-7.98,25,7,18,32
93.49,93.93,94.36,-8.33,23,9,14,32
93.38,93.82,94.21,-8.32,22,9,13,31
93.34,93.79,94.2,-8.11,25,8,17,33
93.44,93.88,94.26,-7.91,26,7,19,33
93.7,94.14,94.52,-7.99,25,7,18,32
93.53,93.97,94.4,-8.07,24,7,17,31
94.23,94.68,95.07,-8.85,23,8,15,31
94.28,94.72,95.08,-9.29,20,11,9,31
94.15,94.59,94.95,-9.88,20,13,7,33
94.19,94.64,94.99,-13.28,21,14,7,35
94.22,94.64,95.04,-13.28,21,14,7,35
94.2,94.67,95.06,-13.28,21,14,7,35
94.2,94.68,95.06,-13.33,21,15,6,36
94.24,94.69,95.06,-13.33,21,15,6,36
94.11,94.58,95.06,-13.33,21,15,6,36
94.16,94.56,95.06,-13.33,21,15,6,36
94.11,94.57,94.93,-13.29,21,14,7,35
94.06,94.49,94.91,-13.29,21,14,7,35
94.04,94.47,94.84,-13.29,21,14,7,35
94.03,94.47,94.84,-13.29,21,14,7,35
94.03,94.47,94.81,-13.29,21,14,7,35
94.02,94.44,94.83,-10.29,21,14,7,35
93.94,94.37,94.83,-10.29,21,14,7,35
93.93,94.34,94.73,-10.21,21,13,8,34
93.85,94.27,94.66,-9.61,21,11,10,32
93.82,94.26,94.61,-9.5,21,11,10,32
93.74,94.18,94.55,-9.4,21,11,10,32
93.79,94.24,94.6,-9.4,21,11,10,32
93.72,94.17,94.6,-9.45,21,12,9,33
93.78,94.21,94.6,-9.5,21,12,9,33
93.77,94.21,94.54,-9.49,22,11,11,33
94.07,94.5,94.77,-9.44,22,11,11,33
94.11,94.54,94.91,-9.5,22,12,10,34
94.15,94.58,95.06,-9.55,22,12,10,34
94.4,94.84,95.24,-9.07,23,12,11,35
94.28,94.74,95.15,-8.8,22,13,9,35
94.11,94.57,94.93,-9.64,20,15,5,35
94.08,94.54,94.92,-9.64,21,14,7,35
94.05,94.52,94.91,-11.2,21,16,5,37
93.96,94.43,94.83,-11.33,20,17,3,37
93.66,94.13,94.55,-9.68,20,14,6,34
93.66,94.12,94.56,-9.42,21,12,9,33
93.9,94.36,94.75,-8.57,23,10,13,33
94.12,94.58,94.98,-8.52,22,9,13,31
93.88,94.35,94.71,-8.24,22,12,10,34
93.86,94.3,94.68,-9.96,21,14,7,35
93.92,94.35,94.74,-9.17,23,12,11,35
93.92,94.35,94.72,-8.53,25,11,14,36
93.86,94.3,94.7,-9.01,23,12,11,35
93.78,94.22,94.59,-9,23,12,11,35
93.9,94.34,94.73,-8.88,23,11,12,34
93.96,94.4,94.78,-8.88,23,11,12,34
93.84,94.28,94.62,-8.96,23,11,12,34
93.29,93.72,94.1,-8.94,23,11,12,34
93.45,93.9,94.22,-8.96,22,9,13,31
93.44,93.88,94.28,-8.91,22,9,13,31
93.46,93.9,94.27,-8.41,23,8,15,31
93.46,93.92,94.18,-5.41,24,8,16,32
93.42,93.86,94.32,-8.41,23,8,15,31
93.42,93.87,94.3,-8.41,23,8,15,31
93.47,93.96,94.27,-8.41,23,8,15,31
93.45,93.91,94.27,-8.41,23,8,15,31
93.45,93.89,94.32,-8.51,23,9,14,32
93.43,93.86,94.28,-8.51,23,9,14,32
93.42,93.87,94.24,-8.61,22,10,12,32
93.4,93.87,94.25,-8.61,22,10,12,32
93.45,93.91,94.3,-8.61,22,10,12,32
93.54,93.99,94.39,-8.61,22,10,12,32
93.6,94.04,94.39,-8.61,22,10,12,32
93.59,94.04,94.41,-8.61,22,10,12,32
93.6,94.06,94.41,-8.61,22,10,12,32
93.59,94.05,94.43,-8.41,22,10,12,32
93.52,93.97,94.32,-8.41,22,10,12,32
93.47,93.91,94.33,-8.41,22,10,12,32
93.45,93.89,94.26,-8.41,22,10,12,32
93.53,93.97,94.37,-8.41,22,10,12,32
93.5,93.97,94.32,-8.81,23,10,13,33
93.4,93.85,94.24,-8.81,23,10,13,33
93.31,93.77,94.2,-8.21,23,9,14,32
93.15,93.61,94,-7.4,25,9,16,34
93.21,93.67,94.08,-7.19,25,9,16,34
93.29,93.76,94.08,-6.91,25,8,17,33
93.42,93.89,94.25,-6.85,26,8,18,34
93.51,93.97,94.35,-6.83,26,8,18,34
93.53,93.98,94.37,-7.93,26,8,18,34
93.39,93.84,94.23,-7.93,26,8,18,34
93.31,93.77,94.19,-7.94,26,8,18,34
93.18,93.63,94,-7.99,26,8,18,34
93.4,93.86,94.22,-9.45,24,11,13,35
93.22,93.66,94.09,-9.46,24,11,13,35
93.53,93.98,94.36,-9.44,24,11,13,35
93.5,93.95,94.3,-10.43,25,12,13,37
93.5,93.98,94.35,-10.58,23,13,10,36
93.81,94.27,94.63,-0.56,23,12,11,35
94.12,94.55,94.88,-10.38,21,12,9,33
94.26,94.7,95.05,-11.32,20,13,7,33
94.19,94.63,94.97,-11.52,20,13,7,33
94.22,94.66,94.99,-11.72,20,14,6,34
93.94,94.37,94.71,-12.04,20,15,5,35
93.96,94.4,94.73,-11.62,19,15,4,34
94.24,94.69,95.1,-11.72,19,16,3,35
94.15,94.61,94.98,-10.66,21,16,5,37
94.18,94.63,95,-10.87,22,16,6,38
94.17,94.64,95,-10.88,21,17,4,38
94.2,94.65,95.02,-10.88,21,17,4,38
94.21,94.66,95,-10.93,20,18,2,38
94.2,94.65,94.98,-11.18,20,18,2,38
94.11,94.56,94.93,-11.18,20,18,2,38
94.1,94.56,94.93,-35.99,21,19,2,40
94.14,94.6,94.93,-35.79,21,19,2,40
94.21,94.66,94.99,-35.79,21,19,2,40
94.14,94.6,94.99,-35.79,21,19,2,40
94.11,94.57,94.92,-35.79,21,19,2,40
94.04,94.51,94.89,-35.79,21,19,2,40
94.03,94.49,94.89,-35.79,21,19,2,40
93.92,94.39,94.89,-35.79,21,19,2,40
93.87,94.32,94.65,-12.19,21,18,3,39
93.87,94.32,94.67,-12.16,21,17,4,38
93.82,94.27,94.64,-12.06,21,17,4,38
93.86,94.32,94.64,-11.86,21,17,4,38
93.94,94.39,94.75,-11.86,21,17,4,38
93.97,94.42,94.77,-11.56,21,16,5,37
93.99,94.44,94.81,-11.46,22,15,7,37
94.04,94.48,94.8,-11.26,22,14,8,36
94.13,94.57,94.93,-11.26,22,14,8,36
94.12,94.57,94.93,-12.36,21,17,4,38
94.32,94.77,95.15,-12.56,20,18,2,38
94.34,94.79,95.14,-13.51,19,20,-1,39
94.37,94.8,95.16,-13.16,18,21,-3,39
94.4,94.84,95.22,-13.16,18,21,-3,39
94.61,95.06,95.42,-13.19,18,22,-4,40
94.5,94.95,95.3,-12.59,19,21,-2,40
94.63,95.08,95.46,-14.69,18,23,-5,41
94.79,95.22,95.63,-14.69,18,23,-5,41
94.74,95.21,95.59,-15.95,19,23,-4,42
94.71,95.18,95.53,-16.05,18,24,-6,42
94.99,95.45,95.8,-15.92,18,24,-6,42
95.34,95.81,96.18,-16,19,19,0,38
95.39,95.87,96.22,-12.54,20,15,5,35
95.48,95.93,96.29,-13.17,20,19,1,39
95.31,95.76,96.11,-12.44,21,14,7,35
95.27,95.73,96.1,-11.79,21,13,8,34
95.29,95.74,96.12,-11.72,21,13,8,34
95.45,95.9,96.28,-11.8,20,14,6,34
95.89,96.34,96.7,-12.1,19,15,4,34
95.68,96.12,96.5,-11.25,21,14,7,35
95.63,96.08,96.42,-12.45,20,15,5,35
95.5,95.94,96.32,-12.23,20,15,5,35
95.33,95.77,96.16,-12.03,20,14,6,34
95.4,95.84,96.2,-10.54,21,13,8,34
95.31,95.74,96.14,-9.59,21,13,8,34
95.27,95.72,96.15,-9.64,20,14,6,34
95.23,95.68,96.04,-9.59,21,13,8,34
95.17,95.61,96,-9.08,21,12,9,33
95.18,95.62,95.98,-9.03,21,12,9,33
95.17,95.62,95.99,-8.99,21,12,9,33
95.2,95.66,96.04,-8.99,21,12,9,33
95.22,95.67,96.03,-3.99,21,12,9,33
